,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
263,https://www.blablacar.it/passaggio-milano-courmayeur-770920130,2017-03-31,19:20:04,Milano,45.4654219,9.1859243,"Milano, Italia",Courmayeur,45.7918115,6.9725857,"Museo Alpino Duca degli Abruzzi, Courmayeur",17.5,219,4,4,770920130-milano-courmayeur,"[Trieste, Milano, Courmayeur]",manual,online
264,https://www.blablacar.it/passaggio-milano-reggio-emilia-770684035,2017-03-31,19:30:00,Milano,45.46549,9.18588,"Milano, MI",Reggio Emilia,44.7239236,10.6579846,"Stazione Mediopadana, Reggio Emilia",9.5,154,3,3,770684035-milano-reggio-emilia,"[Milano, Reggio Emilia]",auto,online
265,https://www.blablacar.it/passaggio-milano-salo-bs-771527065,2017-03-31,19:30:00,Milano,45.4680184,9.1561936,"Wagner M1, Milano, MI","Salò, BS",45.6180372,10.5263488,"Salò, BS",10.5,141,1,1,771527065-milano-salo-bs,"[Milano, Dro]",auto,online
266,https://www.blablacar.it/passaggio-milano-padova-769733785,2017-03-31,19:30:00,Milano,45.4788956,9.1439966,"Lotto Fieramilanocity, 20149 Milano, Italia",Padova,45.4168569,11.8797719,"Piazzale Stazione, 35131 Padova PD, Italia",17.5,242,2,3,769733785-milano-padova,"[Milano, Padova]",manual,online
267,https://www.blablacar.it/passaggio-milano-rovereto-769770255,2017-03-31,19:30:00,Milano,45.4515142,9.2030248,"Porta Romana, 20135 Milano, Italia",Rovereto,45.8776411,11.0322166,"Via Abetone, 76, 38068 Rovereto TN, Italia",17.5,204,3,3,769770255-milano-rovereto,"[Milano, Rovereto]",manual,online
268,https://www.blablacar.it/passaggio-milano-ferrara-769733365,2017-03-31,19:30:00,Milano,45.4895,9.20071,"Sondrio, Milano, MI",Ferrara,44.8382,11.6198,"Ferrara, FE",17.5,258,1,4,769733365-milano-ferrara,"[Milano, Ferrara]",manual,online
269,https://www.blablacar.it/passaggio-milano-ancona-771595365,2017-03-31,19:30:00,Milano,45.4563173,9.1736642,"Piazzale Antonio Cantore, 2, 20123 Milano, Italia",Ancona,43.6155369,13.5228963,"Via Lauro de Bosis, 5, 60123 Ancona, Italia",26.5,446,3,3,771595365-milano-ancona,"[Milano, Ancona]",manual,online
270,https://www.blablacar.it/passaggio-milano-modena-771458190,2017-03-31,19:30:52,Milano,45.446699,9.1609776,"Via Giovanni Pastorelli, 20-22, 20143 Milano, Italia",Modena,44.654817,10.868112,"Modena Nord (casello), Modena",8.5,173,3,3,771458190-milano-modena,"[Milano, Modena]",manual,online
271,https://www.blablacar.it/passaggio-milano-bergamo-760415725,2017-03-31,19:40:00,Milano,45.465423584,9.18592453,"Milano, Italia",Bergamo,45.698265076,9.677269936,"Bergamo BG, Italia",5.5,51,1,1,760415725-milano-bergamo,"[Alba, Milano, Bergamo]",manual,online
272,https://www.blablacar.it/passaggio-milano-genova-770690445,2017-03-31,19:40:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Genova,44.4056499,8.946256,"Genova, GE",13.0,140,4,4,770690445-milano-genova,"[Baar, Milano, Genova]",auto,online
273,https://www.blablacar.it/passaggio-milano-ravenna-770783055,2017-03-31,19:40:35,Milano,45.4470768,9.2098737,"Piazzale Lodi, Milano, Italia",Ravenna,44.4094119,12.1918091,"Viale V. Randi, 24, 48121 Ravenna RA, Italia",17.5,285,3,3,770783055-milano-ravenna,"[Milano, Ravenna]",manual,online
