,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
23,https://www.blablacar.it/passaggio-milano-padova-761252770,2017-05-06,15:00:59,Milano,45.485668,9.2097314,"Piazza Caiazzo, 20124 Milano, Italia",Padova,45.4168569,11.8797719,"Piazzale Stazione, 35131 Padova PD, Italia",17.5,236,3,3,761252770-milano-padova,"[Milano, Padova]",auto,online
24,https://www.blablacar.it/passaggio-milan-venise-755111120,2017-05-06,15:50:00,Milano,45.4654219,9.1859243,"Milan, Italie",Venezia,45.4934881,12.2463181,"Mestre, Venise, Italie",15.0,264,2,2,755111120-milan-venise,"[Avignone, Milano, Venezia]",manual,online
25,https://www.blablacar.it/passaggio-milano-brescia-752925010,2017-05-06,17:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Brescia,45.5415526,10.2118019,"Brescia, BS",7.5,96,4,4,752925010-milano-brescia,"[Milano, Brescia, Trento]",manual,online
26,https://www.blablacar.it/passaggio-milano-salerno-754835950,2017-05-07,08:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Salerno,40.6751175,14.7715403,"Stazione ferroviaria, Salerno",37.0,813,1,1,754835950-milano-salerno,"[Milano, Salerno]",manual,online
27,https://www.blablacar.it/passaggio-milano-lugano-765368595,2017-05-07,11:00:00,Milano,45.48604357,9.216095656,"Loreto M1-M2, Milano",Lugano,46.0036778,8.951052,"Lugano, Svizzera",5.5,81,3,3,765368595-milano-lugano,"[Milano, Lugano, Pinsk]",manual,online
28,https://www.blablacar.it/passaggio-milano-montagnana-754137190,2017-05-07,13:50:00,Milano,45.46549,9.18588,"Milano, MI",Montagnana,45.2304395,11.4658602,"Agip, Montagnana",13.0,208,1,1,754137190-milano-montagnana,"[Ribeauvillé, Milano, Montagnana]",manual,online
29,https://www.blablacar.it/passaggio-milano-lussemburgo-762813200,2017-05-07,16:10:08,Milano,45.437393188,9.168777466,"Famagosta M2, Milano",Lussemburgo,49.6000243,6.1340517,"Luxembourg Station, 11 Place de la Gare, 1130 Luxembourg, Lussem",38.0,619,3,3,762813200-milano-lussemburgo,"[Milano, Lussemburgo]",manual,online
30,https://www.blablacar.it/passaggio-milan-montbeliard-732711745,2017-05-07,18:10:00,Milano,45.4654219,9.1859243,"Milan, Italie",Montbéliard,47.510356,6.798466,"Montbéliard, gare SNCF",31.5,433,2,2,732711745-milan-montbeliard,"[San Salvo, Milano, Montbéliard]",manual,online
31,https://www.blablacar.it/passaggio-milano-anversa-749733520,2017-05-07,20:50:28,Milano,45.4839709,9.2060969,"Centrale, Milano, Italia",Anversa,51.2167492,4.4442872,"Karel Geertsstraat 35, 2140 Antwerpen, Belgio",57.5,947,2,2,749733520-milano-anversa,"[Milano, Anversa]",manual,online
32,https://www.blablacar.it/passaggio-milano-zurigo-763970830,2017-05-08,12:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Zurigo,47.3768866,8.541694,"Zurigo, Svizzera",17.5,282,3,3,763970830-milano-zurigo,"[Padova, Milano, Zurigo]",manual,online
