,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
12,12,https://www.blablacar.it/passaggio-milano-brescia-710604414,2017-01-01,08:10:00,Milano,45.4654219,9.1859243,"Milano, Italia",Brescia,45.5415526,10.2118019,Brescia,6.5,104,3,3,710604414-milano-brescia,"[Milano, Brescia, Padova]",auto,online
13,13,https://www.blablacar.it/passaggio-milano-verona-709970119,2017-01-01,08:30:00,Milano,45.47903,9.1443735,"Lotto M1-M5, Milan",Verona,45.4383842,10.9916215,"Verona, VR",8.5,165,4,4,709970119-milano-verona,"[Milano, Verona, Pieve Di Cadore]",manual,online
14,14,https://www.blablacar.it/passaggio-milano-champoluc-710500769,2017-01-01,08:30:00,Milano,45.4843425,9.2347009,"Lambrate Fs, Milano, MI",Champoluc,45.8322272,7.7255284,"Champoluc, AO",17.5,189,2,2,710500769-milano-champoluc,"[Milano, Champoluc]",auto,online
15,15,https://www.blablacar.it/passaggio-milano-ponte-di-legno-710601339,2017-01-01,09:00:00,Milano,45.46549,9.18588,"Milano, MI",Ponte Di Legno,46.2602731,10.5090969,"Ponte di Legno, BS",14.0,166,3,3,710601339-milano-ponte-di-legno,"[Milano, Ponte Di Legno]",manual,online
16,16,https://www.blablacar.it/passaggio-milano-senigallia-710408919,2017-01-01,09:00:00,Milano,45.46549,9.18588,"Milano, MI",Senigallia,43.7197926,13.2152224,"Senigallia, AN",19.5,398,2,2,710408919-milano-senigallia,"[Milano, Senigallia]",auto,online
17,17,https://www.blablacar.it/passaggio-milano-gussago-709674619,2017-01-01,10:00:00,Milano,45.4461442,9.192894,"Viale Toscana, Milano, MI",Gussago,45.5876305,10.1533423,"Gussago, BS",5.5,102,3,3,709674619-milano-gussago,"[Milano, Gussago]",auto,online
18,18,https://www.blablacar.it/passaggio-milano-bologna-709316534,2017-01-01,10:00:00,Milano,45.4842475,9.2348298,"Lambrate Fs, Milano, MI, Italia",Bologna,44.5058803,11.3433706,"Bologna Stazione Centrale, Bologna, BO, Italia",13.0,213,3,3,709316534-milano-bologna,"[Milano, Bologna]",manual,online
19,19,https://www.blablacar.it/passaggio-milano-ancona-703363978,2017-01-01,10:00:00,Milano,45.45158,9.20318,"Porta Romana, 20135 Milano, Italia",Ancona,43.6158299,13.518915,"Ancona, AN",26.5,425,1,1,703363978-milano-ancona,"[Milano, Ancona, Matera]",manual,online
20,20,https://www.blablacar.it/passaggio-mailand-wuerzburg-693696028,2017-01-01,10:00:00,Milano,45.484579,9.204914,"Stazione Centrale, Milan",Würzburg,49.8015978,9.9357507,"Würzburg Hbf, Würzburg",39.5,612,2,2,693696028-mailand-wuerzburg,"[Milano, Würzburg]",manual,online
21,21,https://www.blablacar.it/passaggio-milano-cesena-710050369,2017-01-01,10:00:31,Milano,45.4654219,9.1859243,"Milano, Italia",Cesena,44.1396438,12.2464292,"Cesena FC, Italia",17.5,305,3,3,710050369-milano-cesena,"[Milano, Cesena]",auto,online
22,22,https://www.blablacar.it/passaggio-milano-torino-699655435,2017-01-01,10:00:55,Milano,45.4654219,9.1859243,"Milano, Italia",Torino,45.070312,7.6868565,"Torino, Italia",7.5,146,1,4,699655435-milano-torino,"[Milano, Torino, Parigi]",manual,online
23,23,https://www.blablacar.it/passaggio-milan-grenoble-702076523,2017-01-01,10:40:00,Milano,45.4654219,9.1859243,Milan,Grenoble,45.188504,5.7240917,Grenoble,31.5,373,1,3,702076523-milan-grenoble,"[Saronno, Milano, Grenoble]",manual,online
24,24,https://www.blablacar.it/passaggio-milano-vicenza-709282894,2017-01-01,11:00:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Vicenza,45.5454787,11.5354214,"Vicenza, VI, Italia",13.0,207,2,3,709282894-milano-vicenza,"[Milano, Vicenza]",manual,online
