,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name,duration,recommended_price,country_code
2344,2017-02-11,12:10:00,Milano,45.4654219,9.1859243,"Milan, Italie",Genova,44.4066464,8.945211,"Stazione Brignole, Genoa",8.5,148,2,2,728085100-milan-genes,"[Mulhouse, Milano, Genova]",manual,online,genova,9000,8,IT
2345,2017-02-11,12:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Varese,45.8205989,8.8250576,"21100 Varese VA, Italia",5.5,60,3,4,742064035-milano-varese,"[Ravenna, Milano, Varese]",manual,online,varese,4200,3,IT
2346,2017-02-11,12:30:27,Milano,45.4372427,9.1681331,"Famagosta, Milano, MI",Genova,44.4056499,8.946256,"Genova, GE",8.5,140,1,4,737562285-milano-genova,"[Linate, Milano, Genova]",auto,online,genova,9000,8,IT
2347,2017-02-11,12:30:28,Milano,45.4654219,9.1859243,"Milano, Italia",Bergamo,45.6982642,9.6772698,Bergamo,5.5,52,3,3,735462230-milano-bergamo,"[Milano, Bergamo, Verona]",manual,online,bergamo,4200,2,IT
2348,2017-02-11,12:40:00,Milano,45.4654219,9.1859243,"Milano, Italia",Verona,45.43838501,10.991621971,"Verona VR, Italia",8.5,160,1,2,741424740-milano-verona,"[Milano, Verona]",auto,online,verona,8400,8,IT
2349,2017-02-11,12:40:00,Milano,45.487476349,9.171461105,"Cenisio, 20154 Milano, Italia",Venezia,45.493488312,12.246317863,"Mestre, Venezia, Italia",15.0,268,2,2,742892410-milano-venezia,"[Milano, Venezia, Mogliano Veneto]",manual,online,venezia,12000,14,IT
2350,2017-02-11,12:40:00,Milano,45.487476349,9.171461105,"Cenisio M5, Milano, MI",Zero Branco,45.601131439,12.166814804,"Zero Branco, TV",17.5,274,2,3,738198580-milano-zero-branco,"[Milano, Zero Branco]",auto,online,zero branco,12000,14,IT
2351,2017-02-11,12:40:00,Milano,45.4654219,9.1859243,"Milano, MI",Rimini,44.0678288,12.5695158,"Rimini, RN",20.5,333,1,2,741617485-milano-rimini,"[Zurigo, Milano, Rimini]",manual,online,rimini,13800,18,IT
2352,2017-02-11,12:50:55,Milano,45.4800336,9.142841,"Piazzale Lorenzo Lotto, Milano, Italia",Biella,45.5568891,8.0662181,"Piazza S. Paolo, 13900 Biella BI, Italia",6.5,97,2,3,743008235-milano-biella,"[Milano, Biella]",manual,online,biella,6000,5,IT
2353,2017-02-11,13:00:00,Milano,45.4842475,9.2348298,"Lambrate Fs, Milano, MI",Trento,46.0747793,11.1217486,"Trento, TN",17.5,221,1,3,738084755-milano-trento,"[Milano, Trento, Bressanone]",manual,online,trento,10800,12,IT
