,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name,duration,recommended_price,country_code
0,2017-02-01,00:10:00,Milano,45.4654219,9.1859243,"Milano, MI",Genova,44.4056499,8.946256,"Genova, GE",13.0,148,3,3,733482275-milano-genova,"[Milano, Genova]",auto,online,genova,9000,8,IT
1,2017-02-01,00:20:12,Milano,45.475732,9.1378105,"San Siro, Milano, Italia",Ferrara,44.8428429,11.6035498,"Stazione ferroviaria, Ferrara",17.5,270,4,4,728145380-milano-ferrara,"[Milano, Ferrara]",manual,online,ferrara,11400,14,IT
2,2017-02-01,00:30:06,Milano,45.4654219,9.1859243,"Milan, Italy",Trento,46.072057,11.119602,"Stazione ferroviaria, Trento",18.5,224,2,3,720124479-milan-trento,"[Oleggio, Milano, Trento]",manual,online,trento,10800,12,IT
3,2017-02-01,04:20:03,Milano,45.4839709,9.2060969,"Centrale, Milano, Italie",Civitavecchia,42.0924239,11.7954132,"00053 Civitavecchia, Metropolitan City of Rome, Italie",39.5,540,1,1,732452360-milan-civitavecchia,"[Parigi, Milano, Civitavecchia]",auto,online,civitavecchia,22200,29,IT
4,2017-02-01,05:00:03,Milano,45.4491939,9.1797462,"Corso S. Gottardo, 20136 Milano, Italia",Modena,44.636729,10.941028,Policlinico,7.5,186,3,3,736073945-milano-modena,"[Milano, Modena]",auto,online,modena,9000,9,IT
5,2017-02-01,05:10:00,Milano,45.46549,9.18588,"Milano, MI",Vicenza,45.5636798,11.5554104,"Via Baden Powell, Vicenza, VI",13.0,211,2,2,734647440-milano-vicenza,"[Tradate, Milano, Vicenza]",auto,online,vicenza,9600,11,IT
6,2017-02-01,06:00:31,Milano,45.48604357,9.216095656,"Loreto M1-M2, Milan",Napoli,40.8517746,14.2681244,"Napoli, Italia",50.0,772,3,3,735904310-milano-napoli,"[Milano, Napoli]",manual,online,napoli,30000,42,IT
7,2017-02-01,06:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Modena,44.647128,10.9252269,"Modena MO, Italia",14.0,179,3,3,735876025-milano-modena,"[Milano, Modena]",manual,online,modena,9000,9,IT
8,2017-02-01,07:00:00,Milano,45.4654219,9.1859243,"Milano, MI Fermata MM2 Romolo",Scandicci,43.7542169,11.1922839,Scandicci Capolinea tramvia fermata Villa Costanza,23.0,302,4,4,733371825-milano-scandicci,"[Milano, Scandicci]",auto,online,scandicci,12600,16,IT
9,2017-02-01,07:00:09,Milano,45.4842475,9.2348298,"Lambrate Fs, 20131 Milano, Italia",Osteria Grande,44.4286079,11.5208433,"Osteria Grande BO, Italia",14.0,235,3,3,734871765-milano-osteria-grande,"[Milano, Osteria Grande]",manual,online,osteria grande,10800,13,IT
10,2017-02-01,07:00:51,Milano,45.48604357,9.216095656,"Loreto M1-M2, Milan",Francoforte,50.105853,8.6618933,"Hauptbahnhof, Frankfurt",37.0,668,3,3,736078555-mailand-frankfurt-am-main,"[Milano, Francoforte]",auto,online,francoforte,28800,36,DE
11,2017-02-01,07:10:00,Milano,45.48367691,9.188018799,"Garibaldi-Isola, Milano, MI",Paradiso,45.989177704,8.946525574,"Lugano-Paradiso, Paradiso, Svizzera",7.5,74,3,3,729425400-milano-paradiso,"[Milano, Paradiso]",manual,online,paradiso,15000,19,CH
12,2017-02-01,07:10:08,Milano,45.4654219,9.1859243,"Milano, Italia",Brescia,45.5415526,10.2118019,"Brescia BS, Italia",6.5,96,1,1,733284295-milano-brescia,"[Milano, Brescia]",auto,online,brescia,5400,5,IT
13,2017-02-01,07:20:00,Milano,45.437244415,9.168132782,"Famagosta, 20142 Milano, Italia",Rimini,44.067829132,12.569516182,"Rimini RN, Italia",19.5,333,3,3,734188970-milano-rimini,"[Milano, Rimini]",manual,online,rimini,13800,18,IT
14,2017-02-01,07:30:00,Milano,45.465499878,9.185879707,"Milano, MI",Genova,44.405700684,8.946260452,"Genova, GE",9.5,183,3,3,733000205-milano-genova,"[Milano, Genova]",manual,online,genova,9000,8,IT
15,2017-02-01,07:40:00,Milano,45.465423584,9.18592453,"Milano, MI, Italia","Alessandria, AL, Italia",44.817558289,8.704662323,"Alessandria, AL, Italia",7.5,101,3,3,720984234-milano-alessandria-al-italia,[Milano],manual,online,bosco marengo,5400,5,IT
16,2017-02-01,07:40:00,Milano,45.465423584,9.18592453,"Milano, Italia",Genova,44.405651093,8.946255684,"Genova, Italia",9.5,148,3,3,734783110-milano-genova,"[Milano, Genova]",manual,online,genova,9000,8,IT
17,2017-02-01,08:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Udine,46.07106781,13.234579086,"33100 Udine UD, Italia",20.5,382,1,4,733086600-milano-udine,"[Milano, Udine]",manual,online,udine,15600,20,IT
18,2017-02-01,08:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Napoli,40.8528721,14.2724603,"Stazione di Napoli Centrale, Piazza Giuseppe Garibaldi, 80142 Na",55.5,773,2,2,729466460-milano-napoli,"[Milano, Napoli]",manual,online,napoli,30000,42,IT
19,2017-02-01,08:00:07,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Parma,44.801485,10.3279036,"Parma PR, Italia",12.0,131,3,3,736053790-milano-parma,"[Milano, Parma]",manual,online,parma,6600,7,IT
20,2017-02-01,08:00:15,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Modena,44.647128,10.9252269,"Modena, MO, Italia",8.5,179,1,3,728731795-milano-modena,"[Milano, Modena]",manual,online,modena,9000,9,IT
21,2017-02-01,08:00:51,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Genova,44.4056499,8.946256,"Genova, Italia",8.5,140,4,4,734542825-milano-genova,"[Milano, Genova]",auto,online,genova,9000,8,IT
22,2017-02-01,08:00:51,Milano,45.437393188,9.168777466,"Famagosta M2, Milan",Genova,44.411067,8.904351,"Sampierdarena (Motorizz.), Genoa",9.5,136,3,3,734065615-milano-genova,"[Milano, Genova]",auto,online,genova,9000,8,IT
23,2017-02-01,08:20:00,Milano,45.4299522,9.1766626,"Piazza Abbiategrasso, Milano, MI",Chiasso,45.835688,9.0268397,"Corso San Gottardo, Chiasso, Svizzera",4.0,66,3,3,723775489-milano-chiasso,"[Milano, Chiasso]",manual,online,chiasso,4200,3,CH
24,2017-02-01,08:30:00,Milano,45.4373631,9.1646019,"Viale Famagosta, Milano, MI",Firenze,43.7695604,11.2558136,"Firenze, FI",16.5,318,3,3,733504795-milano-firenze,"[Milano, Firenze, Scafati]",manual,online,firenze,13800,17,IT
25,2017-02-01,08:40:00,Milano,45.48604357,9.216095656,"Loreto M1-M2, Milan",Brescia,45.5415526,10.2118019,Brescia,6.5,92,3,3,735307450-milano-brescia,"[Milano, Brescia, Rovereto]",auto,online,brescia,5400,5,IT
26,2017-02-01,08:40:07,Milano,45.4654219,9.1859243,"Milano, Italia",Castelfranco Veneto,45.6716942,11.9282388,"31033 Castelfranco Veneto TV, Italia",15.0,249,3,3,735686840-milano-castelfranco-veneto,"[Milano, Castelfranco Veneto]",auto,online,castelfranco veneto,12000,13,IT
27,2017-02-01,09:00:00,Milano,45.4365307,9.1687066,"Milano - Famagosta, Milano, MI",Genova,44.4066382,8.9468423,"Genova Brignole, Piazza Giuseppe Verdi, Genova, GE",8.5,140,1,3,734861965-milano-genova,"[Milano, Genova]",auto,online,genova,9000,8,IT
28,2017-02-01,09:00:00,Milano,45.4839709,9.2060969,"Centrale, Milano, Italia",Padova,45.4168569,11.8797719,"Piazzale Stazione, 35131 Padova PD, Italia",13.0,235,1,3,734938415-milano-padova,"[Milano, Padova]",manual,online,padova,11400,13,IT
29,2017-02-01,09:00:00,Milano,45.465423584,9.18592453,"Milano, Italia",Bologna,44.494888306,11.342616081,"Bologna, Italia",15.0,216,1,4,731624495-milano-bologna,"[Varese, Milano, Bologna, Ravenna]",manual,online,bologna,10200,11,IT
30,2017-02-01,09:00:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Livorno,43.548473,10.3105674,"Livorno, LI, Italia",18.5,301,1,4,733029930-milano-livorno,"[Milano, Livorno]",auto,online,livorno,13200,16,IT
31,2017-02-01,09:00:45,Milano,45.4654219,9.1859243,"Milano, Italia",Viterbo,42.4206766,12.107669,"01100 Viterbo VT, Italia",31.5,514,1,1,729391680-milano-viterbo,"[Milano, Viterbo]",manual,online,viterbo,21000,28,IT
32,2017-02-01,09:20:27,Milano,45.437393188,9.168777466,"Famagosta M2, Milan",Rapallo,44.3498211,9.2338889,"16035 Rapallo GE, Italia",9.5,161,3,3,736192270-milano-rapallo,"[Milano, Rapallo]",manual,online,rapallo,9600,9,IT
33,2017-02-01,09:30:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Bologna,44.48467,11.355262,"Porta Santo Stefano, Bologna, BO",10.5,217,3,3,736012690-milano-bologna,"[Milano, Bologna]",auto,online,bologna,10200,11,IT
34,2017-02-01,09:30:00,Milano,45.4839709,9.2060969,"Centrale, Milano, Italia",Civitanova Marche,43.3048492,13.7218351,"62012 Civitanova Marche MC, Italia",26.5,466,1,3,735653300-milano-civitanova-marche,"[Milano, Civitanova Marche]",auto,online,civitanova marche,18600,25,IT
35,2017-02-01,10:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Piacenza,45.047424316,9.68656826,"Piacenza, PC, Italia",5.5,71,3,3,728479415-milano-piacenza,"[Lugano, Milano, Piacenza, Modena]",manual,online,piacenza,4800,3,IT
36,2017-02-01,10:20:00,Milano,45.465423584,9.18592453,"Milano, MI, Italia",Venezia,45.493488312,12.246317863,"Mestre, Venezia, VE, Italia",17.5,264,4,4,728625315-milano-venezia,"[Ferno, Milano, Venezia]",auto,online,venezia,12000,14,IT
37,2017-02-01,10:30:00,Milano,45.465423584,9.18592453,"Milano, Italia",Padova,45.406433105,11.876761436,"Padova PD, Italia",12.0,245,1,3,732447150-milano-padova,"[Milano, Padova]",auto,online,padova,11400,13,IT
38,2017-02-01,10:30:46,Milano,45.4654219,9.1859243,"Milan, Italy",Lugano,46.0036778,8.951052,"Lugano, Switzerland",10.5,80,3,3,733903835-milan-lugano,"[Milano, Lugano, Zurigo]",manual,online,lugano,5400,4,CH
39,2017-02-01,10:40:53,Milano,45.4654219,9.1859243,"Milano, Italia",Ventimiglia,43.7912366,7.6075864,"18039 Ventimiglia IM, Italia",18.5,286,2,2,735833330-milano-ventimiglia,"[Bergamo, Milano, Ventimiglia]",manual,online,ventimiglia,13200,15,IT
40,2017-02-01,11:00:00,Milano,45.46549,9.18588,"Milano, MI",Bologna,44.4949851,11.3428187,"Bologna, BO",12.0,215,2,2,732977660-milano-bologna,"[Milano, Bologna]",manual,online,bologna,10200,11,IT
41,2017-02-01,11:30:00,Milano,45.4810039,9.2250039,"Piola, Milano, MI",Imola,44.3599996,11.7124294,"Imola, BO",13.0,254,3,3,731260335-milano-imola,"[Milano, Imola]",auto,online,imola,11400,14,IT
42,2017-02-01,11:30:44,Milano,45.493031,9.1461496,"Piazzale Francesco Accursio, Milano, Italia",Ancona,43.6158299,13.518915,"Ancona, Italia",26.5,461,1,3,735341890-milano-ancona,"[Milano, Ancona, Taranto]",auto,online,ancona,18000,24,IT
43,2017-02-01,11:50:00,Milano,45.4654219,9.1859243,"Milano, MI",Bologna,44.494887,11.3426163,Bologna,13.0,216,1,4,733361600-milano-bologna,"[Stoccarda, Milano, Bologna, Tortoreto Lido]",manual,online,bologna,10200,11,IT
44,2017-02-01,12:00:00,Milano,45.4650203,9.1857233,"Mailand, Metro Station Milano Assago Forum",Sargans,47.0456433,9.4448605,"Sargans, Bahnhof, Sargans, Schweiz",16.5,249,3,3,731025800-mailand-sargans,"[Nizza, Milano, Sargans, Vaduz]",manual,online,sargans,12600,13,CH
45,2017-02-01,12:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Potenza,40.6404067,15.8056041,"Potenza, PZ",28.5,874,2,2,736123850-milano-potenza,"[Milano, Potenza]",manual,online,potenza,35400,48,IT
46,2017-02-01,12:00:44,Milano,45.4654219,9.1859243,"Milan, Italie",Parma,44.801485,10.3279036,"Parme, Italie",12.0,132,2,2,736087375-milan-parme,"[Saint-Priest, Milano, Parma]",auto,online,parma,6600,7,IT
47,2017-02-01,12:20:00,Milano,45.4654219,9.1859243,"Milano, MI",Brescia,45.6596772,10.3856716,Brescia,9.5,138,2,2,732903540-milano-brescia,"[Campagnano, Milano, Rossano Veneto]",manual,online,brescia,5400,5,IT
48,2017-02-01,12:50:00,Milano,45.4654219,9.1859243,"Milano, Italia",Modena,44.647128,10.9252269,"Modena MO, Italia",7.5,179,3,3,735341905-milano-modena,"[Milano, Modena]",manual,online,modena,9000,9,IT
49,2017-02-01,13:00:00,Milano,45.465423584,9.18592453,"Milano, Italia",Parma,44.801483154,10.327903748,"Parma PR, Italia",6.5,132,2,3,735786280-milano-parma,"[Lecco, Milano, Parma]",manual,online,parma,6600,7,IT
50,2017-02-01,13:00:00,Milano,45.465423584,9.18592453,"Milano, Italia",Courmayeur,45.796920776,6.968962669,"11013 Courmayeur AO, Italia",16.5,220,1,1,735439735-milano-courmayeur,"[Milano, Courmayeur]",auto,online,courmayeur,10200,12,IT
51,2017-02-01,13:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Avignone,43.949317,4.805528,"Avignone, Francia",39.5,581,1,3,731437410-milano-avignone,"[Padova, Milano, Avignone]",manual,online,avignone,25200,31,FR
52,2017-02-01,13:10:57,Milano,45.47903,9.1443735,"Lotto M1-M5, Milan",Saluggia,45.2353908,8.0105832,"13040 Saluggia VC, Italia",6.5,108,3,3,732187710-milano-saluggia,"[Brescia, Milano, Saluggia]",manual,online,saluggia,6000,6,IT
53,2017-02-01,13:30:48,Milano,45.437393188,9.168777466,"Famagosta M2, Milan","Aeroporto Internazionale di Orio al Serio (BGY), Via Aeroporto, ",45.6695707,9.7036313,"Aeroporto Internazionale di Orio al Serio (BGY), Via Aeroporto, ",6.5,75,4,4,734832115-milano-aeroporto-internazionale-di-orio-al-serio-bgy-via-aeroporto,"[Varese, Milano, Brescia]",auto,online,orio al serio,3600,2,IT
54,2017-02-01,14:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Genova,44.4056499,8.946256,"Genova, Italia",9.5,142,3,3,736117605-milano-genova,"[Milano, Genova]",manual,online,genova,9000,8,IT
55,2017-02-01,14:00:00,Milano,45.4858877,9.2042827,"Milano Centrale, Milano, MI",Perugia,43.1107168,12.3908279,"Perugia, PG",37.0,452,3,3,736411920-milano-perugia,"[Milano, Perugia]",manual,online,perugia,19200,24,IT
56,2017-02-01,14:00:28,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Pisa,43.7228386,10.4016888,"Pisa, PI, Italia",19.5,282,1,3,735681990-milano-pisa,"[Milano, Pisa]",auto,online,pisa,12600,15,IT
57,2017-02-01,14:00:45,Milano,45.4655,9.18588,"Milano, MI",Bologna,44.4949,11.3426,"Bologna, BO",13.0,216,1,4,735971220-milano-bologna,"[Milano, Bologna, Lugo]",auto,online,bologna,10200,11,IT
58,2017-02-01,14:00:50,Milano,45.4654219,9.1859243,"Mailand, Italien",Monaco Di Baviera,48.142654,11.5333309,"Donnersberger Brücke, Munich",32.5,491,2,3,734277255-mailand-muenchen,"[Imperia, Milano, Monaco Di Baviera]",auto,online,monaco di baviera,22800,27,DE
59,2017-02-01,14:30:00,Milano,45.4654219,9.1859243,"Milano, MI",Como,45.8080597,9.0851765,"Como, CO",5.5,52,3,3,736257520-milano-como,"[Firenze, Milano, Como]",manual,online,como,4200,2,IT
60,2017-02-01,14:30:00,Milano,45.4654219,9.1859243,"Milan, Italie",Brescia,45.5415526,10.2118019,"Brescia, Italie",7.5,92,2,2,734244615-milan-brescia,"[Ginevra, Milano, Brescia]",manual,online,brescia,5400,5,IT
61,2017-02-01,14:30:00,Milano,45.4654219,9.1859243,"Milan, Italie",Pisa,43.708955,10.39818,"Stazione ferroviaria, Pisa",17.5,290,3,3,736334165-milan-pise,"[Milano, Pisa]",auto,online,pisa,12600,15,IT
62,2017-02-01,14:30:27,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Genova,44.4066382,8.9468423,"Genova Brignole, Piazza Giuseppe Verdi, 2, 16121 Genova, Italia",8.5,140,2,3,736399540-milano-genova,"[Milano, Genova]",auto,online,genova,9000,8,IT
63,2017-02-01,14:40:57,Milano,45.4654219,9.1859243,"Milano, MI",Torino,45.070312,7.6868565,"Torino, TO",8.5,146,3,3,731580355-milano-torino,"[Milano, Torino]",manual,online,torino,7200,8,IT
64,2017-02-01,14:50:00,Milano,45.465423584,9.18592453,"Milano, Italia",Salsomaggiore Terme,44.818313599,9.982512474,"43039 Salsomaggiore Terme PR, Italia",7.5,119,2,2,735187365-milano-salsomaggiore-terme,"[Karlsruhe, Milano, Salsomaggiore Terme]",manual,online,salsomaggiore terme,6000,6,IT
65,2017-02-01,15:00:00,Milano,45.4372427,9.1681331,"Famagosta, Milano, MI",Pisa,43.6991312,10.400852,"Aeroporto Galilei Di Pisa, Pisa, PI",19.5,288,2,3,735749420-milano-pisa,"[Milano, Pisa]",manual,online,pisa,12600,15,IT
66,2017-02-01,15:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Pisticci,40.3901174,16.5528984,"Pisticci, MT",50.0,948,2,2,735445410-milano-pisticci,"[Milano, Pisticci]",manual,online,pisticci,37800,52,IT
67,2017-02-01,15:10:00,Milano,45.4654219,9.1859243,"Milano, MI",Torino,45.0449067,7.645614,"Corso Sebastopoli, Torino, TO",8.5,165,3,3,735967485-milano-torino,"[Saronno, Milano, Torino]",manual,online,torino,7200,8,IT
68,2017-02-01,15:30:38,Milano,45.4654219,9.1859243,"Milano, Italia",Novara,45.44693,8.6221612,"28100 Novara NO, Italia",5.5,54,3,3,735891155-milano-novara,"[Roma, Milano, Novara]",manual,online,novara,4200,3,IT
69,2017-02-01,15:50:00,Milano,45.4654219,9.1859243,"Milano, MI",Parma,44.801485,10.3279036,"Parma, PR",8.5,130,2,3,718466479-milano-parma,"[Wiesbaden, Milano, Parma, Modena]",manual,online,parma,6600,7,IT
70,2017-02-01,16:00:00,Milano,45.504688263,9.180010796,"Dergano M3, Milano, MI",Torino,45.031429291,7.651743889,"Lingotto, Torino, TO",8.5,163,3,3,714088794-milano-torino,"[Milano, Torino]",manual,online,torino,7200,8,IT
71,2017-02-01,16:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Mantova,45.1564168,10.7913751,"46100 Mantova MN, Italia",12.0,161,3,3,735825430-milano-mantova,"[Milano, Mantova]",manual,online,mantova,9600,10,IT
72,2017-02-01,16:20:00,Milano,45.4971928,9.1846146,"Maciachini, Milano, MI",Biella,45.5571923,8.0673186,"Biella S.Paolo, Piazza San Paolo, Biella, BI",7.5,101,3,3,734622660-milano-biella,"[Milano, Biella]",auto,online,biella,6000,5,IT
73,2017-02-01,16:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Lucca,43.8376211,10.4950609,"55100 Lucca LU, Italia",15.0,281,1,3,732291845-milano-lucca,"[Varese, Milano, Lucca, Pescia]",manual,online,lucca,12600,15,IT
74,2017-02-01,16:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Viareggio,43.8657267,10.2513103,"55049 Viareggio LU, Italia",17.5,266,2,3,734396895-milano-viareggio,"[Milano, Viareggio]",manual,online,viareggio,12000,14,IT
75,2017-02-01,16:30:00,Milano,45.464897156,9.143028259,"Gambara, 20146 Milano, Italia",Bagni Di Lucca,44.010925293,10.591650963,"55022 Bagni di Lucca LU, Italia",17.5,312,3,3,735251870-milano-bagni-di-lucca,"[Milano, Bagni Di Lucca]",manual,online,bagni di lucca,14400,16,IT
76,2017-02-01,16:30:19,Milano,45.4851649,9.195734,"Gioia m2, Milano, MI",Torino,45.0429575,7.6518609,"Piazzale Grande Torino, Torino, TO",7.5,163,1,2,724547859-milano-torino,"[Milano, Torino]",auto,online,torino,7200,8,IT
77,2017-02-01,17:00:00,Milano,45.4856799,9.2037979,"Milano Centrale, Milano, MI",Chieti,42.3478822,14.1636026,"Chieti, CH",44.5,591,3,3,735458430-milano-chieti,"[Milano, Chieti]",manual,online,chieti,22800,32,IT
78,2017-02-01,17:10:00,Milano,45.4654219,9.1859243,"Milano, MI",Parma,44.801485,10.3279036,"Parma, PR",12.0,130,3,3,736257530-milano-parma,"[Como, Milano, Parma, Firenze]",manual,online,parma,6600,7,IT
79,2017-02-01,17:20:00,Milano,45.483970642,9.206096649,"Centrale, Milano, Italia",Parma,44.801483154,10.327903748,"Parma PR, Italia",8.5,128,2,3,734982915-milano-parma,"[Milano, Parma, Guastalla]",manual,online,parma,6600,7,IT
80,2017-02-01,17:20:00,Milano,45.4372427,9.1681331,"Famagosta, Milano, MI",Recco,44.3614219,9.1437445,"Recco, GE",10.5,156,1,3,730977400-milano-recco,"[Lugano, Milano, Recco]",manual,online,recco,9600,9,IT
81,2017-02-01,17:30:50,Milano,45.437393188,9.168777466,"Famagosta M2, Milan",Viareggio,43.8657267,10.2513103,"55049 Viareggio LU, Italia",19.5,265,2,2,736261480-milano-viareggio,"[Milano, Viareggio]",manual,online,viareggio,12000,14,IT
82,2017-02-01,18:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Torino,45.070312,7.6868565,"Torino, Italia",6.5,146,3,3,736322745-milano-torino,"[Milano, Torino]",manual,online,torino,7200,8,IT
